"","AAMID","A1_BT","A2_NW","A3_SE","A4_NE_WC","A5_NC_EC","Loc_Abbrev_LF.x","Longitude.x","Latitude.x","A1","A2","A3","A4","A5","Loc_Abbrev_LF.y","Longitude.y","Latitude.y"
"101","AAM4280",0.01,0.009,0.01,0.04,0.932,"EC",123.1386769,-0.71400485,0.007,0.003,0.005,0.005,0.98,"EC",123.1386769,-0.71400485
"102","AAM4281",0.006,0.006,0.006,0.585,0.397,"EC",123.1386769,-0.71400485,0.0036,0.003,0.003,0.004,0.9864,"EC",123.1386769,-0.71400485
"103","AAM4282",0.007,0.006,0.011,0.073,0.903,"EC",122.565327,-0.874005,0.0038,0.003,0.004,0.004,0.9852,"EC",122.565327,-0.874005
"104","AAM4283",0.008,0.011,0.007,0.335,0.639,"EC",122.72294,-1.003575,0.006,0.0042,0.009,0.004,0.9768,"EC",122.72294,-1.003575
"105","AAM4284",0.002,0.003,0.005,0.004,0.986,"EC",123.1386769,-0.71400485,0.011,0.0153,0.4439,0.003,0.5268,"EC",123.1386769,-0.71400485
"106","AAM4285",0.002,0.003,0.022,0.004,0.97,"EC",123.1386769,-0.71400485,0.0113,0.9418,0.0376,0.003,0.0063,"EC",123.1386769,-0.71400485
"107","AAM4286",0.003,0.003,0.008,0.146,0.84,"EC",123.1386769,-0.71400485,0.003,0.003,0.0042,0.0027,0.9871,"EC",123.1386769,-0.71400485
"108","AAM4287",0.02,0.013,0.299,0.426,0.242,"NW",120.9338769,0.87534715,NA,NA,NA,NA,NA,NA,NA,NA
"109","AAM4289",0.002,0.991,0.002,0.003,0.002,"NW",122.1253169,0.92184415,0.9918,0.002,0.002,0.002,0.0022,"NW",122.1253169,0.92184415
"110","AAM4290",0.002,0.991,0.002,0.003,0.002,"NW",122.1253169,0.92184415,0.9918,0.002,0.002,0.002,0.0022,"NW",122.1253169,0.92184415
"111","AAM4291",0.005,0.972,0.004,0.01,0.009,"NW",122.2737169,0.92607115,0.9864,0.002,0.002,0.003,0.0066,"NW",122.2737169,0.92607115
"112","AAM4292",0.003,0.018,0.008,0.013,0.957,"NC",123.5245169,0.66399715,0.0186,0.0034,0.0182,0.0028,0.957,"NC",123.5245169,0.66399715
"113","AAM4293",0.022,0.023,0.008,0.014,0.931,"NW",121.9217969,0.68513215,0.1169,0.003,0.0281,0.049,0.803,"NW",121.9217969,0.68513215
"114","AAM4294",0.024,0.026,0.008,0.015,0.926,"NW",121.9217969,0.68513215,0.1068,0.003,0.0277,0.0418,0.8208,"NW",121.9217969,0.68513215
"115","AAM4295",0.007,0.036,0.01,0.183,0.763,"NW",121.9217969,0.68513215,0.0238,0.005,0.0062,0.005,0.96,"NW",121.9217969,0.68513215
"116","AAM4296",0.076,0.254,0.18,0.051,0.44,"NW",120.9338769,0.87534715,0.4775,0.0061,0.0776,0.2253,0.2136,"NW",120.9338769,0.87534715
