"","AAMID","S1_NW","S2_PE","S3.x","S4_SE_BT","S5_WC_SW","S6_BU","S7_EC","Loc_Abbrev_LF.x","Longitude.x","Latitude.x","S1","S2","S3.y","S4","S5","Loc_Abbrev_LF.y","Longitude.y","Latitude.y"
"124","AAM2166",0,0,0.03,0,0.731,0,0.239,"SW",119.36,-3.43,0.0253,0.0103,0.0111,0.0042,0.9491,"SW",119.36,-3.43
"125","AAM2170",0,0,0,0.998,0,0,0.002,"SE",122.48,-4.3,0.0098,0.9593,0.0091,0.0118,0.01,"SE",122.48,-4.3
"126","AAM2171",0,0,0,0.429,0.02,0,0.548,"SE",122.07,-3.48,0.0392,0.9114,0.0169,0.0045,0.028,"SE",122.07,-3.48
"127","AAM2172",0,0,0,0.999,0,0,0.001,"SE",122.07,-3.48,0.0302,0.9451,0.0057,0.0034,0.0156,"SE",122.07,-3.48
"128","AAM2177",0,0,0,0.993,0.007,0,0,"SE",121.75,-4.46,0.0108,0.9582,0.0085,0.004,0.0185,"SE",121.75,-4.46
"129","AAM2178",0,0,0,1,0,0,0,"SE",122.07,-3.48,0.0164,0.9686,0.0033,0.0026,0.0091,"SE",122.07,-3.48
"130","AAM2180",0,0,0,1,0,0,0,"SE",122.42,-3.98,0.0185,0.9552,0.0069,0.0045,0.0149,"SE",122.42,-3.98
"131","AAM2181",0,0,0,1,0,0,0,"SE",122,-3.8,NA,NA,NA,NA,NA,NA,NA,NA
"132","AAM2184",0,0,0,0,0,0,1,"EC",123.134047,-0.836027,0.9721,0.0069,0.0058,0.0026,0.0126,"EC",123.134047,-0.836027
"133","AAM2185",0,0,0,0,0.028,0,0.972,"EC",123.134047,-0.836027,0.9248,0.0138,0.0108,0.0052,0.0454,"EC",123.134047,-0.836027
"134","AAM2186",0,0,0,0,0.005,0,0.995,"EC",123.134047,-0.836027,0.9639,0.0051,0.0101,0.0022,0.0187,"EC",123.134047,-0.836027
"135","AAM2187",0.972,0,0,0,0.01,0,0.018,"NW",121.73,1.07,0.007,0.0079,0.9203,0.0017,0.0631,"NW",121.73,1.07
"136","AAM2188",1,0,0,0,0,0,0,"NW",121.73,1.07,0.002,0.0047,0.9591,0.001,0.0332,"NW",121.73,1.07
"137","AAM2189",0.999,0,0,0,0,0,0.001,"NW",121.73,1.07,0.0034,0.004,0.9643,0.001,0.0273,"NW",121.73,1.07
"138","AAM2190",0.946,0,0,0.001,0.019,0,0.033,"NW",121.73,1.07,0.0105,0.0245,0.9062,0.002,0.0568,"NW",121.73,1.07
"139","AAM2191",0,0,0,0,0.999,0,0.001,"NW",120.88,0.91,0.0124,0.0072,0.0938,0.0021,0.8845,"NW",120.88,0.91
"140","AAM2192",0,0,0,0.001,0.97,0,0.029,"NW",120.88,0.91,0.0077,0.004,0.1415,0.002,0.8448,"NW",120.88,0.91
"141","AAM2193",1,0,0,0,0,0,0,"NW",121.71,1.07,0.001,0.0022,0.9772,0.001,0.0186,"NW",121.71,1.07
"142","AAM2194",0.949,0,0,0,0.001,0,0.049,"NW",121.71,1.07,0.0516,0.0035,0.8444,0.003,0.0975,"NW",121.71,1.07
"143","AAM2195",1,0,0,0,0,0,0,"NW",121.71,1.07,0.001,0.002,0.9773,0.001,0.0187,"NW",121.71,1.07
"144","AAM2196",0,0,0,0,0.999,0,0.001,"WC",120.33,-1.53,0.0345,0.0077,0.0215,0.0077,0.9286,"WC",120.33,-1.53
"145","AAM2197",0,0,0,0,1,0,0,"WC",120.33,-1.53,0.1102,0.0069,0.0085,0.0023,0.8721,"WC",120.33,-1.53
"146","AAM2198",0,0,0.001,0,0.999,0,0.001,"WC",120.33,-1.53,0.0767,0.0072,0.0142,0.0015,0.9004,"WC",120.33,-1.53
"147","AAM2199",0,0,0.001,0,0.999,0,0,"WC",120.33,-1.53,0.0582,0.0073,0.0193,0.0011,0.9141,"WC",120.33,-1.53
"148","AAM2203",0,0,0,0,1,0,0,"WC",120.32,-1.6,0.0372,0.0032,0.0125,0.0021,0.945,"WC",120.32,-1.6
"149","AAM2205",0,0,0,0,0.812,0,0.188,"EC",123.134047,-0.836027,0.8241,0.0094,0.0246,0.0048,0.1371,"EC",123.134047,-0.836027
"150","AAM2206",0,0,0,0,0,0,1,"EC",123.134047,-0.836027,0.9725,0.0046,0.0061,0.0037,0.0131,"EC",123.134047,-0.836027
"151","AAM2207",0,0,0,0,0.018,0,0.982,"EC",123.134047,-0.836027,0.9087,0.0077,0.0266,0.0175,0.0395,"EC",123.134047,-0.836027
"152","AAM2209",0,0,0,0.467,0.049,0,0.484,"EC",121.32,-1.65,0.4348,0.0359,0.0107,0.0021,0.5164,"EC",121.32,-1.65
"153","AAM2210",0,0,0,0,0.002,0,0.998,"EC",121.32,-1.65,0.642,0.0186,0.0211,0.0032,0.3151,"EC",121.32,-1.65
