AAM2063	0.0033	0.9538	0.0095	0.0092	0.0242
AAM2034	0.0088	0.9785	0.0047	0.0029	0.0051
AAM2007	0.0011	0.0021	0.1094	0.0010	0.8864
AAM2008	0.0037	0.0176	0.1532	0.0034	0.8221
AAM3048	0.0263	0.0341	0.3437	0.0026	0.5933
AAM2199	0.0582	0.0073	0.0193	0.0011	0.9141
AAM2207	0.9087	0.0077	0.0266	0.0175	0.0395
AAM3032	0.0198	0.1183	0.4337	0.0267	0.4015
AAM2190	0.0105	0.0245	0.9062	0.0020	0.0568
AAM2006	0.0051	0.0060	0.1427	0.0010	0.8452
AAM2014	0.0047	0.0012	0.6015	0.0020	0.3906
AAM2184	0.9721	0.0069	0.0058	0.0026	0.0126
AAM2042	0.0298	0.9361	0.0124	0.0032	0.0185
AAM2050	0.0060	0.9811	0.0035	0.0030	0.0064
AAM2052	0.0085	0.9585	0.0167	0.0056	0.0107
AAM2158	0.0055	0.0301	0.0115	0.0061	0.9468
AAM2145	0.0173	0.0051	0.2931	0.0025	0.6820
AAM2044	0.0665	0.9129	0.0047	0.0038	0.0121
AAM3192	0.0200	0.0376	0.5047	0.2407	0.1970
AAM2186	0.9639	0.0051	0.0101	0.0022	0.0187
AAM2012	0.0160	0.0022	0.2542	0.0043	0.7233
AAM3189	0.0202	0.0051	0.0303	0.0018	0.9426
AAM2195	0.0010	0.0020	0.9773	0.0010	0.0187
AAM2055	0.0414	0.8470	0.0208	0.0095	0.0813
AAM2056	0.2106	0.7651	0.0078	0.0057	0.0108
AAM2066	0.0138	0.9711	0.0022	0.0035	0.0094
AAM2152	0.0365	0.0041	0.0197	0.0021	0.9376
AAM2130	0.8840	0.0060	0.0794	0.0072	0.0234
AAM3107	0.8319	0.0256	0.0987	0.0245	0.0193
AAM3136	0.0874	0.0101	0.0187	0.0054	0.8784
AAM2051	0.0083	0.9565	0.0123	0.0119	0.0110
AAM3042	0.0028	0.0032	0.9767	0.0018	0.0155
AAM2172	0.0302	0.9451	0.0057	0.0034	0.0156
AAM2018	0.0036	0.0020	0.9646	0.0010	0.0288
AAM2153	0.0620	0.0365	0.1306	0.0046	0.7663
AAM2170	0.0098	0.9593	0.0091	0.0118	0.0100
AAM3191	0.0631	0.0112	0.0539	0.0033	0.8685
AAM2041	0.0095	0.9561	0.0176	0.0057	0.0111
AAM2062	0.0125	0.9569	0.0081	0.0037	0.0188
AAM2033	0.0091	0.0627	0.8352	0.0020	0.0910
AAM2147	0.0016	0.0019	0.9664	0.0010	0.0291
AAM2047	0.0070	0.9473	0.0340	0.0037	0.0080
AAM2067	0.0092	0.9632	0.0035	0.0032	0.0209
AAM2159	0.0033	0.0256	0.0031	0.0024	0.9656
AAM3106	0.9341	0.0091	0.0110	0.0192	0.0266
AAM2086	0.0016	0.0025	0.9693	0.0020	0.0246
AAM2059	0.0093	0.8110	0.0208	0.1322	0.0268
AAM3411	0.3247	0.0433	0.1359	0.4236	0.0726
AAM2156	0.0134	0.5850	0.0263	0.0029	0.3724
AAM2027	0.0010	0.0018	0.9818	0.0010	0.0144
AAM2121	0.0018	0.0045	0.0019	0.9894	0.0024
AAM2180	0.0185	0.9552	0.0069	0.0045	0.0149
AAM2003	0.0051	0.0782	0.3275	0.0050	0.5842
AAM2203	0.0372	0.0032	0.0125	0.0021	0.9450
AAM3108	0.9658	0.0076	0.0073	0.0063	0.0130
AAM2074	0.0049	0.9443	0.0034	0.0053	0.0421
AAM2163	0.0249	0.0054	0.0078	0.0035	0.9584
AAM2040	0.0090	0.9784	0.0047	0.0029	0.0050
AAM2037	0.0144	0.9309	0.0302	0.0084	0.0161
AAM2049	0.0177	0.9692	0.0048	0.0036	0.0047
AAM3404	0.0494	0.0449	0.6384	0.0227	0.2446
AAM2079	0.0016	0.0029	0.9684	0.0037	0.0234
AAM2193	0.0010	0.0022	0.9772	0.0010	0.0186
AAM2210	0.6420	0.0186	0.0211	0.0032	0.3151
AAM3238	0.0150	0.9070	0.0402	0.0227	0.0151
AAM2022	0.0051	0.0031	0.9595	0.0080	0.0243
