AAM0343	0.0048	0.9783	0.0020	0.0050	0.0030	0.0069
AAM0913	0.0020	0.0011	0.0011	0.0020	0.0012	0.9926
AAM0939	0.0144	0.0041	0.0020	0.9719	0.0030	0.0046
AAM0332	0.0030	0.9846	0.0030	0.0030	0.0025	0.0039
AAM0326	0.0205	0.4867	0.0206	0.0113	0.2696	0.1914
AAM0960	0.0010	0.0016	0.9932	0.0012	0.0020	0.0010
AAM0349	0.0036	0.9841	0.0020	0.0050	0.0026	0.0027
AAM0937	0.0240	0.0035	0.0020	0.9655	0.0030	0.0020
AAM0351	0.0020	0.9900	0.0020	0.0020	0.0020	0.0020
AAM0946	0.0749	0.0104	0.0131	0.8837	0.0139	0.0040
AAM0924	0.0024	0.0010	0.0010	0.0020	0.0020	0.9916
AAM0966	0.9880	0.0020	0.0020	0.0040	0.0020	0.0020
AAM0309	0.0021	0.9891	0.0020	0.0020	0.0020	0.0028
AAM0317	0.0030	0.9797	0.0040	0.0052	0.0051	0.0030
AAM0916	0.0020	0.0010	0.0010	0.0020	0.0014	0.9926
